4.03181  1723.48      
4.04965  3001.52      
4.06971  3234.85      
4.08977  3171.21      
4.10983  2964.39      
4.12989  2980.3       
4.14995  2985.61      
4.17001  3075.76      
4.19007  2640.91      
4.21013  1845.45      
4.23019  880.303     
4.25025  339.394     
4.27031  631.061     
4.29037  625.758     
4.31044  811.364     
4.3305   1065.91      
4.35056  1140.15      
4.37062  1171.97      
4.38845  1171.97      
4.41074  1092.42      
4.42857  885.606     
4.45086  615.152     
4.46869  567.424     
4.48875  599.242     
4.50881  609.848     
4.52888  477.273     
4.54894  466.667     
4.56677  673.485     
4.58683  429.545
4.60912  360.606
4.62918  498.485
4.64701  440.152
4.66707  509.091
4.68936  509.091
4.70942  456.061
4.72948  530.303
4.74954  371.212
4.7696   291.667
4.78744  487.879
4.8075   397.727
4.82979  339.394
4.84762  365.909
4.86768  275.758
4.88774  265.152
4.91003  312.879
4.93009  318.182
4.94792  344.697
4.96575  270.455
4.98804  217.424
